scope	mode	seq	dir	len	bip39_words	bip39_windows	bip39_valid	el_win12_13	el_valid12_13	el_win_all	el_valid_all	old_windows	wif_bip38_valid
all+p79hand	w10	runlast	fwd	65	19	80	2	208	1	1209	8	5	0
all+p79hand	w10	runlast	rev	65	19	80	3	208	0	1209	5	5	0
all+p79hand	w10	before	fwd	65	14	25	2	323	8	1885	15	1	0
all+p79hand	w10	before	rev	65	14	25	0	323	1	1885	11	1	0
all+p79hand	w10	after	fwd	65	10	5	1	214	1	1248	6	0	0
all+p79hand	w10	after	rev	65	10	5	1	214	0	1248	4	0	0
all+p79hand	w10	runfirst_L	fwd	110	31	190	4	581	4	3562	14	13	0
all+p79hand	w10	runfirst_L	rev	110	31	190	7	581	1	3562	19	13	0
all+p79hand	w10	runlast_L	fwd	110	24	355	12	579	4	3549	19	16	0
all+p79hand	w10	runlast_L	rev	110	24	355	13	579	2	3549	24	16	0
all+p79hand	w10	boldrun_first	fwd	39	12	13	0	108	0	559	4	0	0
all+p79hand	w10	boldrun_first	rev	39	12	13	1	108	0	559	3	0	0
all+p79hand	w10	boldrun_last	fwd	39	15	20	1	108	0	559	2	2	0
all+p79hand	w10	boldrun_last	rev	39	15	20	1	108	0	559	4	2	0
all+p79hand	w10	sent_emph_first	fwd	61	17	44	2	196	2	1131	5	1	0
all+p79hand	w10	sent_emph_first	rev	61	17	44	2	196	0	1131	4	1	0
all+p79hand	w10	sent_emph_last	fwd	61	15	60	2	291	6	1677	23	6	0
all+p79hand	w10	sent_emph_last	rev	61	15	60	1	291	2	1677	12	6	0
all+p79hand	w10	esent_first	fwd	61	11	9	2	198	1	1144	6	1	0
all+p79hand	w10	esent_first	rev	61	11	9	0	198	1	1144	5	1	0
all+p79hand	w10	esent_last	fwd	61	16	72	0	301	1	1742	8	7	0
all+p79hand	w10	esent_last	rev	61	16	72	3	301	2	1742	7	7	0
all+p79hand	w10	bar_all	fwd	216	50	1000	24	1207	6	7631	64	77	0
all+p79hand	w10	bar_all	rev	216	50	1000	33	1207	5	7631	30	77	0
all+p79hand	w10	orange	fwd	128	28	430	13	683	2	4225	28	33	0
all+p79hand	w10	orange	rev	128	28	430	10	683	2	4225	10	33	0
all+p79hand	w10	black	fwd	61	13	32	0	196	2	1131	3	5	0
all+p79hand	w10	black	rev	61	13	32	2	196	1	1131	10	5	0
all+p79hand	w10	white	fwd	27	9	1	0	31	0	130	1	0	0
all+p79hand	w10	white	rev	27	9	1	0	31	1	130	1	0	0
all+p79hand	w10	under_strike	fwd	15	4	0	0	14	0	20	0	0	0
all+p79hand	w10	under_strike	rev	15	4	0	0	14	0	20	0	0	0
all+p79hand	w10	sent_first	fwd	88	13	32	0	306	0	1846	6	3	0
all+p79hand	w10	sent_first	rev	88	13	32	2	306	1	1846	8	3	0
all+p79hand	w10	sent_last	fwd	88	24	170	3	459	8	2769	20	15	0
all+p79hand	w10	sent_last	rev	88	24	170	5	459	0	2769	5	15	0
all+p79hand	w05	emph	fwd	497	114	2710	63	2891	11	18577	99	207	0
all+p79hand	w05	emph	rev	497	114	2710	61	2891	24	18577	100	207	0
all+p79hand	w05	bold_nobar	fwd	281	64	1370	26	1615	8	10283	64	54	0
all+p79hand	w05	bold_nobar	rev	281	64	1370	36	1615	4	10283	54	54	0
all+p79hand	w05	nonemph	fwd	764	155	3900	86	4481	17	28912	122	276	0
all+p79hand	w05	nonemph	rev	764	155	3900	100	4481	23	28912	154	276	0
all+p79hand	w05	runfirst	fwd	79	19	85	4	264	1	1573	8	2	0
all+p79hand	w05	runfirst	rev	79	19	85	6	264	0	1573	5	2	0
all+p79hand	w05	runlast	fwd	79	21	122	2	264	0	1573	2	7	0
all+p79hand	w05	runlast	rev	79	21	122	4	264	0	1573	4	7	0
all+p79hand	w05	before	fwd	79	15	40	0	407	0	2431	9	4	0
all+p79hand	w05	before	rev	79	15	40	4	407	0	2431	12	4	0
all+p79hand	w05	after	fwd	79	13	24	0	270	0	1612	10	0	0
all+p79hand	w05	after	rev	79	13	24	1	270	1	1612	7	0	0
all+p79hand	w05	runfirst_L	fwd	125	34	245	9	671	6	4147	20	15	0
all+p79hand	w05	runfirst_L	rev	125	34	245	2	671	5	4147	28	15	0
all+p79hand	w05	runlast_L	fwd	125	26	445	11	669	3	4134	16	19	0
all+p79hand	w05	runlast_L	rev	125	26	445	17	669	1	4134	18	19	0
all+p79hand	w05	boldrun_first	fwd	53	15	50	3	164	1	923	1	0	0
all+p79hand	w05	boldrun_first	rev	53	15	50	1	164	2	923	4	0	0
